epoch,accuracy,loss,val_accuracy,val_loss
0,0.6120959520339966,171.0443878173828,0.6142131686210632,156.07070922851562
1,0.6475495100021362,146.79034423828125,0.7817258834838867,132.23287963867188
2,0.6684045791625977,122.86058044433594,0.7664974331855774,109.64612579345703
3,0.6616266965866089,101.23367309570312,0.7868020534515381,89.76814270019531
4,0.6699687242507935,82.56196594238281,0.7918781638145447,73.24262237548828
5,0.7101147174835205,67.29339599609375,0.7817258834838867,59.91394805908203
6,0.6830031275749207,55.08414840698242,0.7563451528549194,49.233978271484375
7,0.6861313581466675,45.376129150390625,0.6395938992500305,40.78099060058594
8,0.6986443996429443,37.64180374145508,0.7055837512016296,33.999481201171875
9,0.7304483652114868,31.532001495361328,0.7817258834838867,28.599651336669922
10,0.7262773513793945,26.635986328125,0.7817258834838867,24.265033721923828
11,0.7450469136238098,22.648569107055664,0.7918781638145447,20.700082778930664
12,0.7460896968841553,19.41288948059082,0.7360405921936035,17.805038452148438
13,0.7570385932922363,16.663684844970703,0.7817258834838867,15.332158088684082
14,0.7690302133560181,14.362957000732422,0.8121827244758606,13.198789596557617
15,0.78206467628479,12.376605033874512,0.807106614112854,11.375548362731934
16,0.7982273101806641,10.654430389404297,0.7614213228225708,9.824267387390137
17,0.8117831349372864,9.157960891723633,0.7868020534515381,8.4656982421875
18,0.8289885520935059,7.92464017868042,0.8274111747741699,7.306107997894287
19,0.8321167826652527,6.848286151885986,0.8324872851371765,6.3375163078308105
20,0.8456725478172302,5.926094055175781,0.8477157354354858,5.479463577270508
21,0.8493221998214722,5.128970146179199,0.8578680157661438,4.711921691894531
22,0.8644421100616455,4.447602272033691,0.7868020534515381,4.151895523071289
23,0.8482794761657715,3.874659299850464,0.8324872851371765,3.5711309909820557
24,0.876433789730072,3.330392360687256,0.8274111747741699,3.133735179901123
25,0.865484893321991,2.9173879623413086,0.8375634551048279,2.739370822906494
26,0.8790406584739685,2.540057897567749,0.8223350048065186,2.4233222007751465
27,0.8665276169776917,2.2381789684295654,0.8527919054031372,2.0930986404418945
28,0.865484893321991,1.9836976528167725,0.8680202960968018,1.8002827167510986
29,0.8852971792221069,1.7386623620986938,0.8121827244758606,1.705586552619934
30,0.8884254693984985,1.5136710405349731,0.8274111747741699,1.4944653511047363
31,0.9118874073028564,1.3338431119918823,0.8680202960968018,1.2654016017913818
32,0.9030239582061768,1.1903079748153687,0.8324872851371765,1.1669278144836426
